vertex,fsaverage_vertex,parcel,mni152_r,mni152_a,mni152_s
0,29,VisCent_Striate_2_LH,-14.756,-105.372,2.621
1,66,VisCent_Striate_2_LH,-14.423,-104.697,9.144
2,101,VisCent_ExStr_11_LH,-18.174,-104.540,6.567
3,141,VisCent_Striate_2_LH,-9.200,-104.748,-0.151
4,178,VisCent_ExStr_8_LH,-19.511,-104.502,-2.897
5,191,VisCent_ExStr_8_LH,-14.830,-104.661,-4.827
6,224,VisCent_ExStr_13_LH,-15.650,-103.737,12.617
7,249,VisCent_Striate_2_LH,-7.355,-104.121,8.352
8,256,VisCent_Striate_2_LH,-5.981,-103.567,7.037
9,259,VisCent_ExStr_11_LH,-21.237,-103.672,6.810
10,335,VisCent_ExStr_8_LH,-21.807,-103.753,-5.339
11,372,VisCent_ExStr_8_LH,-14.507,-103.558,-9.026
12,387,VisCent_ExStr_13_LH,-13.126,-102.682,16.337
13,418,VisCent_ExStr_11_LH,-19.143,-102.699,12.396
14,454,VisCent_Striate_2_LH,-4.571,-102.589,4.314
15,466,VisCent_ExStr_11_LH,-24.242,-102.658,3.056
16,477,VisCent_Striate_2_LH,-5.509,-102.886,-1.252
17,482,VisCent_Striate_2_LH,-6.118,-102.608,-2.740
18,488,VisCent_ExStr_8_LH,-25.634,-102.534,-2.084
19,505,VisCent_ExStr_8_LH,-9.363,-102.832,-6.784
20,508,VisCent_ExStr_8_LH,-24.665,-102.522,-6.375
21,528,VisCent_ExStr_8_LH,-21.376,-102.850,-9.657
22,544,VisCent_ExStr_8_LH,-15.397,-102.690,-11.499
23,547,VisCent_ExStr_8_LH,-18.141,-102.820,-11.145
24,567,VisCent_ExStr_13_LH,-9.667,-101.559,18.397
25,605,VisCent_ExStr_13_LH,-5.711,-102.472,11.617
26,622,VisCent_Striate_2_LH,-4.698,-102.167,6.908
27,631,VisCent_Striate_2_LH,-3.264,-102.381,2.251
28,642,VisCent_ExStr_8_LH,-27.044,-101.497,2.214
29,699,VisCent_ExStr_8_LH,-23.981,-101.570,-10.681
30,723,VisCent_ExStr_8_LH,-18.006,-101.729,-13.403
31,736,VisCent_ExStr_13_LH,-12.902,-99.887,21.574
32,751,VisCent_ExStr_13_LH,-17.871,-101.126,17.968
33,762,VisCent_ExStr_13_LH,-5.730,-100.606,16.849
34,791,VisCent_Striate_2_LH,-4.633,-101.467,10.538
35,834,VisCent_ExStr_8_LH,-29.306,-100.620,0.400
36,836,VisCent_Striate_2_LH,-6.838,-98.709,-0.990
37,859,VisCent_ExStr_8_LH,-26.999,-100.977,-7.168
38,905,VisCent_ExStr_8_LH,-17.881,-100.327,-15.367
39,915,VisCent_ExStr_13_LH,-10.962,-99.280,21.493
40,921,VisCent_ExStr_15_LH,-20.288,-99.461,20.487
41,930,VisCent_ExStr_15_LH,-16.712,-100.396,20.584
42,934,VisCent_ExStr_13_LH,-6.900,-100.237,19.297
43,952,VisCent_ExStr_11_LH,-21.586,-99.865,14.618
44,1017,VisCent_Striate_2_LH,-5.556,-100.294,0.667
45,1037,VisCent_Striate_2_LH,-6.499,-99.915,-4.818
46,1045,VisCent_ExStr_8_LH,-31.165,-99.447,-4.618
47,1051,VisCent_Striate_1_LH,-5.503,-102.036,-9.032
48,1073,VisCent_ExStr_8_LH,-9.188,-100.030,-12.477
49,1080,VisCent_ExStr_8_LH,-25.826,-100.191,-11.226
50,1081,VisCent_ExStr_8_LH,-11.653,-99.713,-15.163
51,1088,VisCent_ExStr_8_LH,-13.676,-99.144,-16.003
52,1107,VisCent_ExStr_8_LH,-20.707,-99.589,-15.933
53,1125,VisCent_ExStr_13_LH,-9.607,-98.770,22.887
54,1136,VisCent_ExStr_13_LH,-12.290,-98.516,20.487
55,1153,VisCent_ExStr_13_LH,-4.968,-99.465,17.230
56,1161,VisCent_ExStr_15_LH,-21.978,-99.049,14.977
57,1169,VisCent_ExStr_11_LH,-22.159,-97.580,16.002
58,1180,VisCent_ExStr_11_LH,-25.713,-99.608,14.066
59,1204,VisCent_Striate_2_LH,-3.922,-99.046,9.065
60,1231,VisCent_Striate_3_LH,-4.534,-99.781,2.487
61,1273,VisCent_ExStr_8_LH,-32.147,-98.493,-6.621
62,1274,VisCent_Striate_1_LH,-7.669,-99.721,-9.907
63,1276,VisCent_ExStr_8_LH,-29.427,-99.404,-8.733
64,1284,VisCent_ExStr_8_LH,-8.431,-98.218,-11.241
65,1308,VisCent_ExStr_8_LH,-13.349,-98.378,-16.666
66,1315,VisCent_ExStr_8_LH,-25.348,-98.605,-15.362
67,1331,VisCent_ExStr_13_LH,-12.580,-99.499,22.534
68,1345,VisCent_ExStr_15_LH,-17.817,-98.590,23.801
69,1349,VisCent_ExStr_13_LH,-12.343,-98.941,21.420
70,1367,VisCent_ExStr_13_LH,-7.946,-98.152,23.318
71,1373,VisCent_ExStr_13_LH,-5.193,-97.860,20.603
72,1444,VisCent_ExStr_11_LH,-32.538,-97.455,8.219
73,1458,VisCent_ExStr_8_LH,-33.720,-97.621,3.884
74,1526,VisCent_ExStr_8_LH,-11.882,-96.145,-14.312
75,1570,VisCent_ExStr_13_LH,-8.543,-98.209,24.002
76,1575,VisCent_ExStr_13_LH,-13.813,-98.488,25.262
77,1600,VisCent_ExStr_13_LH,-14.568,-97.390,21.407
78,1625,VisCent_ExStr_11_LH,-25.933,-97.787,18.519
79,1631,VisCent_ExStr_13_LH,-3.658,-96.619,16.336
80,1643,VisCent_ExStr_11_LH,-28.881,-97.519,15.108
81,1650,VisCent_ExStr_11_LH,-21.036,-96.591,13.064
82,1669,VisCent_ExStr_8_LH,-35.205,-95.583,7.848
83,1696,VisCent_ExStr_8_LH,-35.522,-96.557,-3.932
84,1698,VisCent_Striate_1_LH,-2.336,-100.519,-6.229
85,1734,VisCent_ExStr_8_LH,-32.669,-96.758,-11.528
86,1751,VisCent_ExStr_8_LH,-30.506,-96.505,-14.681
87,1765,VisCent_ExStr_8_LH,-26.584,-96.423,-17.545
88,1771,VisCent_ExStr_8_LH,-21.513,-96.537,-18.529
89,1776,VisCent_ExStr_13_LH,-10.334,-96.456,29.330
90,1778,VisCent_ExStr_13_LH,-12.908,-96.280,29.431
91,1797,VisCent_ExStr_13_LH,-7.415,-96.979,25.175
92,1802,VisCent_ExStr_15_LH,-19.306,-96.544,27.452
93,1811,VisCent_ExStr_15_LH,-23.559,-95.493,26.271
94,1813,VisCent_ExStr_13_LH,-7.681,-97.306,23.777
95,1829,VisCent_ExStr_13_LH,-6.031,-94.916,23.009
96,1835,VisCent_ExStr_13_LH,-4.170,-95.073,21.086
97,1867,VisCent_ExStr_11_LH,-31.525,-95.373,14.183
98,1868,VisCent_ExStr_13_LH,-2.166,-95.183,13.274
99,1882,VisCent_Striate_3_LH,-1.530,-94.781,7.401
100,1892,VisCent_ExStr_8_LH,-36.939,-94.378,5.939
101,1924,VisCent_Striate_1_LH,-1.486,-99.206,-8.325
102,1931,VisCent_Striate_1_LH,-4.319,-100.563,-11.479
